time,ëO„¯çúãÿ
708,-0.03613186
709,-0.0227499
710,0.1646008
711,0.2877169
712,0.1860123
713,0.1431894
714,0.06557226
715,-0.03077888
716,-0.119101
717,-0.1405129
718,-0.1485419
719,-0.1619244
720,-0.1110721
721,-0.08966064
722,-0.03613186
723,-0.03345537
724,-0.07092571
725,-0.06021976
726,-0.01739693
727,-0.04416132
728,-0.124454
729,-0.119101
730,-0.1110721
731,-0.1458659
732,-0.1405129
733,-0.001338482
734,0.07627869
735,0.06021976
736,0.02007341
737,0.1779828
738,0.08966064
739,-0.02810287
740,-0.03613186
741,-0.02007341
742,-0.02810287
743,-0.04683733
744,-0.05486679
745,-0.04951429
746,-0.04148436
747,-0.04416132
748,-0.03880835
749,-0.03345537
750,-0.03077888
751,-0.02810287
752,-0.04148436
753,-0.0521903
754,-0.04951429
755,-0.04148436
756,-0.03880835
757,-0.03345537
758,0.006690979
759,0.01204395
760,-0.02007341
761,-0.0227499
762,-0.01204395
763,-0.001338482
764,-0.01204395
765,0.006690979
766,-0.001338482
767,-0.004014492
768,0.004014969
769,0.004014969
770,-0.08163118
771,-0.09768963
772,-0.06824923
773,-0.03613186
774,-0.0227499
775,-0.02007341
776,-0.01204395
777,-0.004014492
778,-0.02810287
779,-0.03613186
780,-0.04148436
781,-0.0521903
782,-0.07895517
783,-0.1271305
784,-0.1726303
785,-0.09501362
786,0.1378365
787,0.2208061
788,0.1057191
789,0.04416084
790,0.0281024
791,0.01204395
792,-0.009367466
793,-0.02007341
794,-0.02810287
795,-0.0227499
796,-0.0227499
797,-0.02007341
798,-0.02542591
799,-0.04148436
800,-0.03613186
801,-0.03880835
802,-0.03613186
803,-0.0227499
804,0.009367943
805,0.04416084
806,0.03345537
807,-0.1003666
808,-0.124454
809,-0.08430767
810,-0.04416132
811,-0.04416132
812,-0.07092571
813,-0.05754328
814,0.04683781
815,0.06557226
816,0.03077936
817,-0.01472044
818,-0.04683733
819,-0.05486679
820,-0.04416132
821,-0.04683733
822,-0.04416132
823,-0.04951429
824,-0.05754328
825,-0.02810287
826,-0.02542591
827,-0.08698416
828,-0.13516
829,-0.1030426
830,-0.1431894
831,-0.1030426
832,0.08163166
833,0.2555995
834,0.07360172
835,0.006690979
836,0.004014969
837,0.04416084
838,0.009367943
839,-0.02542591
840,-0.01204395
841,0.02274942
842,0.001338005
843,-0.03880835
844,-0.06557274
845,-0.06824923
846,0.03077936
847,0.01739693
848,-0.004014492
849,0.009367943
850,0.01472044
851,-0.03077888
852,-0.03613186
853,-0.04951429
854,-0.05754328
855,-0.04416132
856,-0.01472044
857,-0.01472044
858,-0.03345537
859,-0.03880835
860,-0.03880835
861,-0.0227499
862,-0.03880835
863,-0.04148436
864,-0.04148436
865,-0.06289577
866,-0.05754328
867,-0.01739693
868,-0.02810287
869,-0.09233713
870,-0.08163118
871,-0.06289577
872,-0.006691456
873,0.06021976
874,0.03880835
875,0.03345537
876,0.01739693
877,0.009367943
878,-0.001338482
879,-0.001338482
880,0.01204395
881,-0.001338482
882,-0.08966064
883,-0.1030426
884,-0.08430767
885,-0.04148436
886,-0.03345537
887,-0.02810287
888,-0.02810287
889,-0.02542591
890,-0.02542591
891,-0.0227499
892,-0.02007341
893,-0.0227499
894,-0.01472044
895,-0.01204395
896,-0.01472044
897,-0.02810287
898,-0.03077888
899,-0.03880835
900,-0.05754328
901,-0.06557274
902,-0.04683733
903,0.06289625
904,0.0521903
905,-0.004014492
906,-0.01472044
907,-0.009367466
908,-0.01472044
909,-0.01739693
910,-0.0227499
911,-0.0227499
912,-0.02542591
913,-0.02542591
914,-0.03345537
915,-0.03077888
916,-0.02542591
917,-0.0227499
918,-0.0227499
919,-0.02542591
920,-0.02542591
921,-0.02542591
922,-0.02542591
923,-0.02542591
924,-0.0227499
925,-0.02007341
926,-0.02007341
927,-0.0227499
928,-0.02810287
929,-0.02810287
930,-0.02542591
931,-0.02542591
932,-0.03880835
933,-0.02810287
934,-0.01204395
935,-0.03345537
936,-0.04416132
937,-0.05754328
938,-0.0521903
939,0.009367943
940,0.04683781
941,0.01204395
942,-0.006691456
943,-0.01472044
944,-0.02810287
945,-0.0227499
946,-0.03077888
947,-0.02542591
948,-0.0227499
949,-0.02542591
950,-0.0227499
951,-0.0227499
952,-0.02007341
953,-0.0227499
954,-0.0227499
955,-0.02007341
956,-0.0227499
957,-0.0227499
958,-0.02810287
959,-0.02542591
960,-0.02542591
961,-0.02810287
962,-0.02542591
963,-0.0227499
964,-0.0227499
965,-0.0227499
966,-0.0227499
967,-0.02542591
968,-0.0227499
969,-0.02810287
970,-0.02007341
971,-0.0227499
972,-0.0227499
973,-0.0227499
974,-0.03077888
975,-0.03077888
976,-0.02007341
977,-0.02007341
978,-0.02007341
979,-0.02542591
980,-0.01739693
981,-0.0227499
982,-0.02007341
983,-0.02007341
984,-0.01739693
985,-0.02007341
986,-0.02007341
987,-0.02542591
988,-0.0227499
989,-0.0227499
990,-0.0227499
991,-0.02542591
992,-0.02542591
993,-0.0227499
994,-0.02542591
995,-0.02542591
996,-0.02542591
997,-0.0227499
998,-0.0227499
999,-0.02542591
1000,-0.02542591
1001,-0.02542591
1002,-0.02542591
1003,-0.02007341
1004,-0.02542591
1005,-0.01739693
1006,-0.0227499
1007,-0.02007341
1008,-0.0227499
1009,-0.0227499
